meaning_ru,Akhvakh,Andi,Bagvalal,Botlikh,Chamalal,Godoberi,Karata-Tukita,Tindi
ботинки,пати'кади,NA,NA,батинка́балъи,ПАТИᴴКАЛИ,NA,ПАТИ'ᴴКАД/И,NA
вилка,щи'що,цӏумур,ГIУЧI,кIанкьа,БЕКIУᴴ,ХВАР/Á,МА'ЪА,ГIУ́ЧIИ
дверь,иᴴцĪо',гьинцӏцӏу,NA,гьи́нцIцI/у,ГЬИᴴС̅I̅В¹,ГЬИНЦЦ/У́,ГЬИ'ᴴЦ¯|У,ГЬЍᴴЦ̄У¹
карандаш,къала',къгалам,КЪАЛÁМ,къала́м,КЪАЛАМ,КЪАЛÁМ,КЪАЛА'М,КЪАЛÁМ
книга,гъо'ча,ххуча,ХЪÓЧА,та́птар,ХОША,ХЪУЧ/Á,ХЪО'ЧА,ГЪÒЧА
кровать,ре'кьва,карават,ТАХ,кара́ват,КАРО̅Т,КЯРÁВАТ/И,КАРА'ВАТ,ТÁХИ
ложка,с̄иᴴ'ква,арком,БЕГЬ́УН²,гъе́ру,АБИ́КI,ГЪЕР/У́,БЕ'ГЬУН,АБИ́КI’А
окно,иᴴ'го,ингур,ГЬ́УНГАР,гьи́нгур,ИНА,ГЬАЙИ́,ГЬИᴴГВА'Р,ГЬЍᴴГВАР
ручка,атIе',корччин,̄С̄IАЛ,ру́чка,ГЪЕ̅,РУ́ЧКЯ,КВАРК¯И'Н,Ц̄ÉЛА
стол,у'шту,устӏол,́ЭЛА,усто́р,УСТУР,УСТУ́Р,УСТ|У'Л,УСТУ́Л
стул,къIошта',мокӏо,КЪÓЩДА²,ма́кIва,МАКIВА,КЪОШТТ/Á,NA,NA
тарелка,хъо'тIо,чингил,̄С̄IÁНТIУРА,гъада́р/у,ЧIЕТВ,ЧИНИ́,Ц¯|Е'ЛТ|А,ЧIÉТУ
чашка,с̄укIа'ро,NA,NA,NA,NA,NA,NA,NA
шапка,къа'па,тӏабба,Б́УТУНА,къаба́лъа,ГАЛЪВ,ТIÁТI/А,КЪВА'П/А,КЪВÁПА
