group_id,group,word_id,meaning_ru,language,word
1,animals,1,camel,Akhvakh,варани
1,animals,1,camel,Andi,гъванари
1,animals,1,camel,Bagvalal,варан
1,animals,1,camel,Botlikh,гъварану
1,animals,1,camel,Chamalal,варан
1,animals,1,camel,Godoberi,гъварани
1,animals,1,camel,Karata-Tukita,варан
1,animals,1,camel,Tindi,варан
1,animals,2,wolf,Akhvakh,бачIа
1,animals,2,wolf,Andi,боцIо
1,animals,2,wolf,Bagvalal,бацIа
1,animals,2,wolf,Botlikh,бацIа
1,animals,2,wolf,Chamalal,бацIа
1,animals,2,wolf,Godoberi,бацIа
1,animals,2,wolf,Karata-Tukita,бацIа
1,animals,2,wolf,Tindi,бацIа
1,animals,3,crow,Akhvakh,гъанди
1,animals,3,crow,Andi,хъоммо
1,animals,3,crow,Bagvalal,хъвaгъандв
1,animals,3,crow,Botlikh,къвакъва
1,animals,3,crow,Chamalal,къва̅гъан
1,animals,3,crow,Godoberi,гъанди
1,animals,3,crow,Karata-Tukita,гъанде
1,animals,3,crow,Tindi,хъоба
1,animals,4,goose,Akhvakh,хъази
1,animals,4,goose,Andi,хъази
1,animals,4,goose,Bagvalal,хъаз
1,animals,4,goose,Botlikh,хъаз
1,animals,4,goose,Chamalal,хъаз
1,animals,4,goose,Godoberi,хъази
1,animals,4,goose,Karata-Tukita,хъаз
1,animals,5,snake,Akhvakh,бека
1,animals,5,snake,Andi,берка
1,animals,5,snake,Bagvalal,беча
1,animals,5,snake,Botlikh,берка
1,animals,5,snake,Chamalal,беча
1,animals,5,snake,Godoberi,беркя
1,animals,5,snake,Karata-Tukita,берка
1,animals,5,snake,Tindi,бека
1,animals,6,cow,Akhvakh,жинво
1,animals,6,cow,Andi,зив
1,animals,6,cow,Bagvalal,зин
1,animals,6,cow,Botlikh,зини
1,animals,6,cow,Chamalal,зин
1,animals,6,cow,Godoberi,зини
1,animals,6,cow,Karata-Tukita,зини
1,animals,6,cow,Tindi,зини
1,animals,7,cat,Akhvakh,кето
1,animals,7,cat,Andi,гъварручи
1,animals,7,cat,Bagvalal,китв
1,animals,7,cat,Botlikh,геду
1,animals,7,cat,Chamalal,чIетIа
1,animals,7,cat,Karata-Tukita,маргьо
1,animals,8,lion,Akhvakh,гъабацIе
1,animals,8,lion,Andi,гъалбацIи
1,animals,8,lion,Bagvalal,гъалбацI
1,animals,8,lion,Botlikh,гъалбацI
1,animals,8,lion,Chamalal,гъалбацI
1,animals,8,lion,Godoberi,гъалбацIи
1,animals,8,lion,Karata-Tukita,гъалбацI
1,animals,8,lion,Tindi,гъалбацIи
1,animals,9,fox,Akhvakh,шари
1,animals,9,fox,Andi,сор
1,animals,9,fox,Bagvalal,сар
1,animals,9,fox,Botlikh,сари
1,animals,9,fox,Godoberi,сари
1,animals,9,fox,Tindi,сари
1,animals,10,bear,Akhvakh,шин
1,animals,10,bear,Andi,сей
1,animals,10,bear,Bagvalal,ссин
1,animals,10,bear,Botlikh,син
1,animals,10,bear,Chamalal,сегьин
1,animals,10,bear,Godoberi,сингьи
1,animals,10,bear,Karata-Tukita,син
1,animals,10,bear,Tindi,сӣн
1,animals,11,mouse,Akhvakh,инкIкIотIи
1,animals,11,mouse,Andi,гьинкIкIу
1,animals,11,mouse,Bagvalal,гьекIоча
1,animals,11,mouse,Botlikh,гьинкIкIва
1,animals,11,mouse,Chamalal,гьекIкIвад
1,animals,11,mouse,Godoberi,гьикква
1,animals,11,mouse,Karata-Tukita,гьеркIкIва
1,animals,11,mouse,Tindi,гьек̅вā
1,animals,12,sheep,Akhvakh,ланги
1,animals,12,sheep,Andi,дан
1,animals,12,sheep,Bagvalal,ригьа
1,animals,12,sheep,Botlikh,гьанулъа
1,animals,12,sheep,Chamalal,гьасIсIим
1,animals,12,sheep,Godoberi,гьарккин
1,animals,12,sheep,Tindi,риха
1,animals,13,donkey,Akhvakh,къощо
1,animals,13,donkey,Andi,гьаморохи
1,animals,13,donkey,Bagvalal,къош
1,animals,13,donkey,Botlikh,гьамахи
1,animals,13,donkey,Chamalal,къощ
1,animals,13,donkey,Godoberi,гьамахи
1,animals,13,donkey,Karata-Tukita,къощика
1,animals,13,donkey,Tindi,амаха
1,animals,14,fish,Akhvakh,джугIа
1,animals,14,fish,Andi,хвами
1,animals,14,fish,Bagvalal,щваншкIва
1,animals,14,fish,Botlikh,хъванй
1,animals,14,fish,Chamalal,хвам
1,animals,14,fish,Godoberi,ччугIа
1,animals,14,fish,Karata-Tukita,ччугIа
1,animals,14,fish,Tindi,xхвāн
1,animals,15,dog,Akhvakh,хвайи
1,animals,15,dog,Andi,гьобдийа
1,animals,15,dog,Bagvalal,бахIри
1,animals,15,dog,Botlikh,аргъут
1,animals,15,dog,Chamalal,хва̅й
1,animals,15,dog,Godoberi,аргъут
1,animals,15,dog,Karata-Tukita,хIола
1,animals,15,dog,Tindi,хвā
